q_id,doc_id,Gender,InferredGender,PlayerName,NumSeasons,AvgPER,CareerPoints
1,1,0,0,Paul Arizin*,9,19.6,15145
1,2,0,0,Cliff Barker,1,10.8,126
1,13,0,0,Walt Budko,1,10.2,254
1,26,0,0,Bob Davies*,4,18.0,3840
1,29,0,0,Bob Donham,3,14.1,1402
1,39,0,0,Bob Harris,3,12.57,1451
1,46,0,0,Arnie Johnson,2,16.0,1240
1,51,0,0,George Kaftan,2,13.0,456
1,52,0,0,Jack Kerris,4,13.52,1137
1,57,0,0,Bob Lavoy,5,14.74,1994
1,63,0,0,John McConathy,1,1.7,14
1,76,0,0,Wally Osterkorn,4,9.98,1436
1,80,0,0,Andy Phillip*,6,12.47,3100
1,95,0,0,Fred Scolari,6,12.65,3246
1,98,0,0,Chuck Share,10,17.79,5321
1,99,0,0,Bill Sharman*,10,18.15,12287
1,100,0,1,Connie Simmons,4,15.55,2444
1,105,0,0,Odie Spears,5,13.8,2875
1,116,0,0,Carl Braun,10,15.21,8113
1,118,0,0,Gene Conley,6,9.97,2069
1,125,0,0,Dick Groat,1,18.2,309
1,126,0,0,Alex Hannum*,4,8.97,1496
1,127,0,0,Don Hanrahan,1,14.1,33
1,130,0,0,Paul Hoffman,2,14.0,1427
1,137,0,0,Jack McCloskey,1,7.8,6
1,138,0,0,Bucky McConnell,1,11.6,68
1,143,0,0,Bill Mlkvy,1,9.5,181
1,146,0,0,Jack Nichols,5,13.28,3483
1,147,0,0,John O'Boyle,1,3.4,21
1,149,0,0,Claude Overton,1,6.3,58
1,156,0,0,Kenny Rollins,1,7.9,98
1,160,0,0,Zeke Zawoluk,3,14.4,1210
1,165,0,0,Irv Bemoras,2,9.85,827
1,171,0,0,Jim Fritsche,4,0.9,607
1,172,0,0,Jack George,10,11.52,5772
1,177,0,0,Billy Kenville,6,13.27,2434
1,181,0,0,Jack Molinas,1,19.2,370
1,187,0,0,James Phelan,1,-4.8,3
1,198,0,0,George Yardley*,9,20.37,10272
1,204,0,0,Larry Costello,12,13.99,8622
1,205,0,0,George Dempsey,7,13.13,1839
1,212,0,0,Red Kerr,12,16.71,12480
1,215,0,0,Tom Marshall,6,10.23,1104
1,222,0,0,Bob Pettit*,11,25.33,20880
1,225,0,0,Gene Shue,12,12.27,10327
1,226,0,0,Art Spoelstra,6,10.82,2461
1,228,0,0,Jack Turner,2,9.6,482
1,231,0,0,Dick Atha,2,10.15,137
1,232,0,0,Don Bielke,1,12.2,14
1,236,0,0,Walter Dukes,8,14.05,5765
1,238,0,0,Al Ferrari,6,9.0,2525
1,244,0,0,Larry Hennessy,2,8.65,331
1,257,0,0,Jack Stephens,1,13.3,743
1,265,0,0,Al Bianchi,10,9.43,5550
1,269,0,0,Cliff Hagan*,10,18.83,13447
1,273,0,0,Phil Jordon,11,14.05,6209
1,279,0,0,Dave Piontek,9,10.9,3668
1,280,0,0,Jim Ray,2,-0.85,9
1,285,0,0,Bill Thieben,2,8.55,337
1,297,0,0,Jim Krebs,7,11.47,4128
1,317,0,0,Mike Farmer,9,8.44,3245
1,318,0,0,Dave Gambee,13,15.02,8211
1,320,0,0,Steve Hamilton,2,8.9,368
1,329,0,0,Guy Rodgers*,14,12.84,10818
1,332,0,0,Bennie Swain,1,12.3,265
1,343,0,0,Maury King,2,12.8,226
1,345,0,0,Nick Mantis,4,5.88,451
1,347,0,0,John Richter,1,8.1,285
1,364,0,0,Bob McNeill,4,10.85,713
1,365,0,1,Jackie Moreland,5,12.34,2684
1,366,0,0,Don Ohl,12,12.98,12532
1,373,0,0,Walt Bellamy*,20,18.8,25205
1,385,0,1,Cleo Hill,1,9.1,320
1,387,0,0,Doug Kistler,1,12.1,8
1,388,0,0,York Larese,3,10.4,604
1,396,0,0,Frank Radovich,1,9.8,87
1,399,0,0,Bob Sims,3,8.1,1018
1,404,0,0,Bob Wiesenhahn,1,7.5,119
1,406,0,0,Dave Zeller,1,9.1,90
1,413,0,0,Terry Dischinger,9,15.81,9012
1,421,0,0,John Havlicek*,16,17.33,26395
1,425,0,0,Bill McGill,7,15.14,2784
1,429,0,1,Mel Nowell,1,10.5,232
1,436,0,0,Gene Tormohlen,6,11.2,1191
1,443,0,0,Jay Arnette,3,2.3,424
1,448,0,0,Jerry Harkness,1,11.9,29
1,460,0,0,Roger Strickland,1,-0.1,2
1,462,0,0,Rod Thorn,10,14.6,5792
1,466,0,0,Jim Barnes,13,12.21,5785
1,467,0,0,Ron Bonham,2,17.35,478
1,468,0,0,Gary Bradds,2,15.55,144
1,469,0,1,Em Bryant,8,9.93,3722
1,473,0,0,Jerry Grote,1,14.9,14
1,478,0,0,Larry Jones,2,10.95,854
1,488,0,0,John Thompson*,2,12.3,262
1,490,0,0,George Wilson,11,10.46,3141
1,491,0,0,Rick Barry*,10,19.85,18395
1,498,0,0,Will Frazier,1,0.5,1
1,501,0,0,Jon McGlocklin,11,12.99,9169
1,506,0,0,Dave Stallworth,10,13.34,5684
1,507,0,0,Joe Strawder,3,11.33,1977
1,512,0,0,Ron Watts,2,16.6,40
1,513,0,0,Bob Weiss,14,11.48,6495
1,516,0,0,Jim Barnett,13,13.27,9305
1,520,0,0,Jerry Chambers,4,12.67,1931
1,536,0,0,Bill Melchionni,2,11.35,640
1,537,0,0,Wayne Molis,1,11.7,45
1,540,0,0,Flynn Robinson,13,16.91,10283
1,548,0,0,Bill Bradley*,10,12.04,9217
1,550,0,0,Jim Burns,1,4.3,4
1,553,0,0,Jim Davis,11,12.77,4391
1,557,0,0,Jim Fox,16,14.24,8905
1,560,0,0,Gary Gray,1,5.4,105
1,563,0,0,Al Jackson,1,-9.2,0
1,575,0,0,Earl Monroe*,15,16.51,18203
1,577,0,0,Jim Reid,1,10.6,21
1,578,0,0,Pat Riley*,11,10.56,4195
1,583,0,0,Jimmy Walker,11,13.85,13092
1,588,0,0,Art Williams,7,13.67,2876
1,597,0,0,Don Chaney,13,10.1,6462
1,607,0,0,Bill Hewitt,8,9.35,2336
1,610,0,0,Bob Kauffman,7,15.31,6049
1,621,0,0,Bob Quick,6,14.23,997
1,624,0,0,Dale Schlueter,10,12.11,3130
1,625,0,0,Doug Sims,1,5.0,4
1,631,0,0,Ron Williams,8,12.44,4797
1,633,0,0,Kareem Abdul-Jabbar*,20,24.08,38387
1,643,0,0,Herm Gilliam,8,13.71,6252
1,661,0,0,Neal Walk,10,15.59,7639
1,674,0,0,Joe Cooke,1,10.4,316
1,682,0,0,Gary Freeman,3,14.23,334
1,685,0,0,Gar Heard,15,13.24,8586
1,687,0,0,A.W. Holt,1,-1.8,4
1,700,0,0,Jim McMillian,9,13.47,8736
1,708,0,0,Bob Riley,1,10.9,13
1,709,0,0,Paul Ruffner,3,12.1,109
1,715,0,0,Gary Suiter,1,6.0,42
1,720,0,0,Cornell Warner,11,11.41,3700
1,725,0,0,Willie Williams,3,2.47,46
1,739,0,0,Dick Gibbs,7,6.44,1946
1,741,0,0,Jeff Halliburton,4,13.82,977
1,746,0,0,Charlie Lowery,1,10.5,45
1,751,0,0,Cliff Meely,7,12.84,2795
1,754,0,0,Barry Nelson,1,7.6,35
1,755,0,0,Mike Newlin,11,15.06,12507
1,757,0,0,Steve Patterson,7,10.5,1754
1,759,0,0,Howard Porter,11,13.64,5425
1,763,0,0,Curtis Rowe,8,12.22,6873
1,764,0,0,Charlie Scott,11,14.05,11101
1,773,0,0,Dave Wohl,13,10.28,3774
1,775,0,0,Charlie Yelverton,1,10.3,545
1,778,0,0,Steve Bracey,3,12.53,1141
1,779,0,0,John Brisker,3,16.37,1498
1,788,0,0,Harold Fox,1,10.0,31
1,790,0,0,John Gianelli,10,11.21,4814
1,794,0,0,Ollie Johnson,12,12.67,5842
1,807,0,0,Mike Ratliff,2,5.1,241
1,808,0,0,Tom Riker,3,14.47,225
1,813,0,0,Bud Stallworth,5,10.46,2403
1,820,0,0,Joby Wright,1,9.2,303
1,834,0,0,Derrek Dickey,7,12.14,2166
1,840,0,0,Phil Hankinson,2,17.5,122
1,842,0,0,Tom Ingelsby,1,9.5,129
1,860,0,0,Slick Watts,8,13.45,4431
1,869,0,0,Tom Burleson,7,14.04,4190
1,870,0,0,Harvey Catchings,13,9.94,2599
1,872,0,0,Ben Clyde,1,11.3,69
1,874,0,0,Rod Derline,2,12.95,518
1,877,0,0,Al Eberhard,4,10.65,1490
1,884,0,0,Aaron James,5,13.7,3829
1,887,0,0,Frank Kendrick,1,20.3,80
1,891,0,0,Glenn McDonald,3,8.43,609
1,892,0,0,Eric Money,10,12.79,6898
1,895,0,0,Truck Robinson,15,14.75,14906
1,898,0,0,Tal Skinner,2,9.6,660
1,903,0,0,George Thompson,1,12.7,780
1,918,0,0,Bob Bigelow,6,9.9,242
1,928,0,0,Don Ford,9,9.69,3324
1,929,0,0,World B.,15,17.35,19698
1,938,0,0,Steve Jones,1,12.1,414
1,942,0,0,John Lambert,11,11.21,2049
1,944,0,0,Greg Lee,1,12.8,6
1,957,0,0,Ed Searcy,1,5.6,6
1,989,0,0,Leon Douglas,7,10.2,3587
1,993,0,0,Darrell Elston,1,-1.6,5
1,1006,0,0,Rudy Hackett,3,7.07,28
1,1008,0,0,Armond Hill,12,8.68,3734
1,1014,0,0,Bobby Jones,17,13.88,9377
1,1018,0,0,Wil Jones,2,11.05,1578
1,1019,0,0,George Karl,2,6.45,85
1,1023,0,0,Mitch Kupchak,9,14.23,5202
1,1026,0,0,Scott Lloyd,10,5.79,2014
1,1028,0,0,Maurice Lucas,14,15.7,13262
1,1033,0,0,Allen Murphy,1,1.8,5
1,1038,0,0,Joe Pace,2,15.1,255
1,1041,0,0,Billy Paultz,13,11.78,6424
1,1042,0,0,Marv Roberts,1,6.0,58
1,1043,0,0,Dave Robisch,15,11.83,5832
1,1044,0,0,Marshall Rogers,1,9.8,100
1,1046,0,0,Phil Sellers,1,14.0,198
1,1047,0,0,Lonnie Shelton,10,13.37,8049
1,1050,0,0,Al Skinner,8,10.68,2771
1,1059,0,0,Monte Towe,1,10.3,130
1,1064,0,0,Lloyd Walton,5,11.54,1442
1,1069,0,0,Chuck Williams,4,9.97,978
1,1070,0,0,Chuckie Williams,1,8.8,37
1,1080,0,0,Alonzo Bradley,3,7.47,440
1,1083,0,0,Kenny Carr,14,13.53,9637
1,1092,0,0,James Edwards,25,13.41,17263
1,1095,0,0,Bayard Forrest,2,10.9,569
1,1099,0,0,Greg Griffin,1,6.8,145
1,1104,0,0,Marques Johnson,11,18.49,13892
1,1105,0,0,Eddie Jordan,13,10.91,4410
1,1106,0,0,Bernard King*,14,18.46,19655
1,1107,0,0,Toby Knight,4,14.22,3640
1,1108,0,0,John Kuester,3,10.07,451
1,1110,0,0,Mark Landsberger,9,12.91,3082
1,1111,0,0,Rich Laurel,1,7.5,24
1,1115,0,0,Glenn Mosley,2,6.4,98
1,1118,0,0,Ben Poquette,12,11.91,5063
1,1123,0,0,Alvin Scott,8,10.99,3088
1,1128,0,0,Phil Walker,1,9.0,178
1,1132,0,0,Del Beshore,2,3.2,244
1,1134,0,0,Winford Boynes,3,10.3,1478
1,1135,0,0,Ron Brewer,20,11.38,9578
1,1153,0,0,Kenny Higgs,3,11.7,1470
1,1155,0,0,Otis Howard,3,12.27,118
1,1160,0,0,John Long,16,12.79,12503
1,1167,0,0,Marlon Redmond,4,5.12,856
1,1168,0,0,Micheal Ray,10,15.85,9059
1,1175,0,0,Reggie Theus,15,16.14,19760
1,1183,0,0,James Bailey,13,11.97,6901
1,1188,0,0,Bill Cartwright,15,13.5,12713
1,1190,0,0,Hollis Copeland,2,9.25,464
1,1193,0,0,Pat Cummings,12,12.92,6529
1,1195,0,0,Greg Deane,1,4.5,10
1,1203,0,0,Gerald Henderson,29,11.93,15331
1,1205,0,0,Brad Holland,5,3.52,350
1,1207,0,0,Geoff Huston,10,11.76,5453
1,1209,0,0,Cheese Johnson,1,9.4,27
1,1211,0,0,Vinnie Johnson,15,14.57,12369
1,1212,0,0,Major Jones,6,11.57,1643
1,1216,0,0,Reggie King,6,12.08,3898
1,1225,0,0,Wiley Peck,1,8.9,180
1,1234,0,0,Tony Zeno,1,0.2,14
1,1239,0,0,Lewis Brown,1,-18.6,2
1,1241,0,0,Joe Barry,14,14.66,14192
1,1246,0,0,Darwin Cook,10,13.27,6327
1,1254,0,0,Calvin Garrett,4,8.45,855
1,1256,0,0,Darrell Griffith,10,14.02,12391
1,1267,0,0,Chad Kinch,3,6.6,236
1,1270,0,0,Edmund Lawrence,1,19.4,12
1,1272,0,0,Kyle Macy,7,13.9,5259
1,1276,0,0,Keith McCord,1,7.9,4
1,1294,0,0,Lorenzo Romar,9,9.01,2135
1,1298,0,0,Larry Smith,13,11.82,5904
1,1301,0,0,Carlos Terry,3,8.23,285
1,1309,0,0,Jeff Wilkins,8,9.43,3927
1,1313,0,0,Danny Ainge,16,14.73,13245
1,1320,0,0,Brad Branson,2,12.2,391
1,1322,0,0,Roger Burkman,1,15.5,5
1,1326,0,0,Joe Cooper,6,6.33,199
1,1339,0,0,Steve Johnson,14,11.6,8231
1,1343,0,0,Alton Lister,18,10.74,6441
1,1345,0,0,Kevin Loder,5,7.86,923
1,1358,0,0,Jim Smith,2,11.7,219
1,1361,0,0,Ray Tolbert,11,10.03,1602
1,1374,0,0,Rich Yonakor,1,20.4,33
1,1388,0,0,Bruce Flowers,1,15.2,261
1,1396,0,0,Jim Johnstone,3,3.93,62
1,1398,0,0,Clark Kellogg,5,17.34,4918
1,1401,0,0,Cliff Levingston,11,13.4,5888
1,1404,0,0,Mark McNamara,10,10.15,1092
1,1408,0,1,Audie Norris,3,8.1,819
1,1411,0,0,Charles Pittman,4,9.38,1060
1,1420,0,1,Brook Steppe,5,12.38,1297
1,1444,0,0,Russell Cross,1,15.3,166
1,1454,0,0,Bob Hansen,11,8.74,4125
1,1456,0,0,Roy Hinson,10,14.17,8384
1,1459,0,0,Greg Kite,18,4.38,2099
1,1466,0,0,Scooter McCray,3,7.4,224
1,1467,0,0,Larry Micheaux,4,14.9,541
1,1473,0,0,Doc Rivers,15,15.59,9698
1,1474,0,0,Fred Roberts,15,12.37,6529
1,1483,0,0,Granville Waiters,5,6.56,606
1,1487,0,0,Ennis Whatley,13,10.88,2185
1,1489,0,0,Kevin Williams,7,9.97,1477
1,1493,0,0,Ron Anderson,14,13.0,7859
1,1501,0,0,Michael Cage,15,13.35,8278
1,1505,0,0,Ron Cavenall,2,5.75,84
1,1508,0,0,Kenton Edelin,1,3.3,11
1,1509,0,0,Kenny Fields,6,11.9,1534
1,1522,0,0,Jay Murphy,4,6.9,160
1,1523,0,0,Hakeem Olajuwon*,18,22.91,26946
1,1524,0,0,Sam Perkins,19,15.29,16360
1,1528,0,0,Alvin Robertson,12,16.17,11500
1,1533,0,0,Charlie Sitton,1,8.0,91
1,1536,0,0,John Stockton*,19,21.47,19711
1,1540,0,0,Jeff Turner,10,8.06,3697
1,1544,0,0,Dale Wilkinson,3,-3.9,28
1,1563,0,0,Jeff Cross,1,1.5,26
1,1564,0,0,Joe Dumars*,14,15.16,16401
1,1571,0,0,Steve Harris,7,13.11,1975
1,1573,0,0,Carl Henry,1,12.5,78
1,1577,0,0,Harold Keeling,1,16.1,44
1,1580,0,0,Keith Lee,3,12.2,1114
1,1583,0,0,Brian Martin,3,-0.7,12
1,1590,0,0,Chris Mullin*,16,17.79,17911
1,1593,0,0,Ed Pinckney,16,14.44,6774
1,1610,0,0,Gerald Wilkins,13,10.18,11736
1,1613,0,0,Rafael Addison,6,10.45,2186
1,1620,0,0,Ben Coleman,7,12.11,2087
1,1621,0,0,Dell Curry,16,15.68,12670
1,1624,0,0,Bruce Douglas,1,5.7,14
1,1636,0,0,Buck Johnson,7,11.94,4617
1,1638,0,0,Anthony Jones,7,10.59,993
1,1656,0,0,Johnny Rogers,2,9.0,251
1,1659,0,0,Brad Sellers,8,10.24,2773
1,1660,0,1,McKinley Singleton,1,13.3,4
1,1668,0,0,Kenny Walker,7,11.1,3128
1,1669,0,0,Chris Washburn,4,9.2,312
1,1680,0,0,Nate Blackwell,1,6.1,37
1,1692,0,0,Horace Grant,17,15.49,12996
