PlayerName,NumSeasons,AvgPER,CareerPoints,Gender
Paul Arizin*,9,19.6,15145,M
Cliff Barker,1,10.8,126,M
Don Barksdale*,4,15.25,2895,M
Leo Barnhorst,2,15.95,1787,M
Elmer Behnke,1,7.8,16,M
Charlie Black,1,1.1,17,M
Nelson Bobb,2,12.2,662,M
Vince Boryla,3,10.27,1593,M
Don Boven,5,11.24,1558,M
Bob Brannum,4,11.35,1742,M
Frankie Brian,5,13.54,3097,M
Stan Brown,1,6.1,54,M
Walt Budko,1,10.2,254,M
Art Burris,3,5.4,220,M
Gerry Calabrese,1,9.4,291,M
Bill Calhoun,6,11.15,2573,M
Al Cervi*,2,20.1,560,M
Cal Christensen,4,11.48,1064,M
Nat Clifton*,7,14.0,4882,M
Bill Closs,1,10.4,347,M
Jack Coleman,9,15.5,6324,M
Chuck Cooper,7,10.37,2412,M
Bob Cousy*,13,18.77,15882,M
Dillard Crocker,4,12.62,916,M
Ed Dahler,1,10.3,35,M
Bob Davies*,4,18.0,3840,M
Nate DeLong,1,21.1,64,M
Dick Dickey,1,9.6,127,M
Bob Donham,3,14.1,1402,M
Dike Eddleman,4,10.55,2101,M
Jake Fendley,2,10.35,287,M
Larry Foust,10,19.5,9406,M
Jerry Fowler,1,3.8,9,M
Joe Fulks*,3,9.03,1904,M
Bill Gabor,4,12.48,1699,M
Harry Gallatin*,7,21.44,6761,M
Vern Gardner,1,11.1,159,M
Joe Graboski,10,13.51,8759,M
Bob Harris,3,12.57,1451,M
Bob Harrison,8,8.0,3520,M
Lew Hitch,7,11.87,1911,M
Joe Holland,1,11.5,226,M
Red Holzman*,3,6.97,568,M
Mel Hutchins,7,14.29,4851,M
Joe Hutton,1,8.0,155,M
Arnie Johnson,2,16.0,1240,M
Ralph Johnson,2,8.6,531,M
Neil Johnston*,8,23.19,10023,M
Wah Wah,1,13.5,430,M
Noble Jorgensen,2,13.15,965,M
George Kaftan,2,13.0,456,M
Jack Kerris,4,13.52,1137,M
Jack Kiley,2,1.6,124,M
