Position,NDCG
1,-0.3190109947741912
2,-0.3198602878171473
3,-0.32025295071687043
4,-0.32057260875608995
5,-0.32098947301723363
6,-0.3213602960153216
7,-0.3216552408559117
8,-0.3219016076181128
9,-0.32210361957277145
10,-0.3222727632138284
11,-0.3224340925247719
12,-0.3225944890371368
13,-0.32274192966099924
14,-0.3228747861651939
15,-0.3229944812482785
16,-0.323129747277869
17,-0.32325986747400076
18,-0.3233796230306315
19,-0.32348936991497357
20,-0.3235927975579878
21,-0.3236884991504589
22,-0.32378164949233323
23,-0.32386953956131115
24,-0.3239526255612353
25,-0.3240311159750593
26,-0.32410507840015074
27,-0.32417705141651787
28,-0.3242452342627006
29,-0.3243101124328322
30,-0.3243743017950522
31,-0.324435966901092
32,-0.32449484706486703
33,-0.324551679229821
34,-0.3246067082860211
35,-0.32466135167879623
36,-0.3247137632250317
37,-0.3247643618258889
38,-0.32481525549368734
39,-0.32486410779323843
40,-0.3249122846606461
41,-0.32495913364047985
42,-0.3250042005977133
43,-0.32504780612586076
44,-0.3250911678134719
45,-0.3251331166076751
46,-0.3251740365644781
47,-0.32521382573803287
48,-0.3252544315435138
49,-0.3252941066598336
50,-0.3253328839499518
51,-0.3253705280364966
52,-0.32540716010318305
53,-0.3254431361863341
54,-0.32547804014141485
55,-0.3255119245185341
56,-0.32554530458625813
57,-0.3255778435584341
58,-0.32560977949251835
59,-0.3256409132836303
60,-0.3256712098973619
61,-0.3257012072551826
62,-0.3257304622309919
63,-0.32575948093894985
64,-0.32578785215258393
65,-0.325815543687091
66,-0.3258429971056882
67,-0.32587019135892176
68,-0.32589689531815297
69,-0.3259230828064363
70,-0.32594866851053084
71,-0.3259737544610181
72,-0.3259983079033698
73,-0.32602235037650173
74,-0.3260462306103072
75,-0.3260702630522972
76,-0.32609398269505957
77,-0.3261173742581018
78,-0.3261404203788111
79,-0.32616300823161165
80,-0.3261852150063739
81,-0.32620755213219044
82,-0.32622959857703066
83,-0.3262513889180201
84,-0.3262732645172749
85,-0.32629477563637105
86,-0.3263161612518598
87,-0.32633788067526
88,-0.32635983686777276
89,-0.3263814976719728
90,-0.3264029561780524
91,-0.32642408104155124
92,-0.32644490086288946
93,-0.3264654226399812
94,-0.32648576155272835
95,-0.32650594996077364
96,-0.3265258966044659
97,-0.3265456970154407
98,-0.3265659340523136
99,-0.3265858668785806
100,-0.32660550957475964
101,-0.32662498990561767
102,-0.3266441856766221
103,-0.32666368234969123
104,-0.3266829410842169
105,-0.32670190084788286
106,-0.3267205708697325
107,-0.3267391288735824
108,-0.32675745478971496
109,-0.32677565021946875
110,-0.32679365046720615
111,-0.3268114677352624
112,-0.32682915217949726
113,-0.3268466210232318
114,-0.32686401173590834
115,-0.326881155649478
116,-0.3268982301397429
117,-0.32691509526068596
118,-0.3269317271261994
119,-0.32694829060887376
120,-0.32696473630565864
121,-0.3269810190114124
122,-0.32699737439158366
123,-0.3270135453868238
124,-0.3270295606875265
125,-0.3270456718932868
126,-0.3270615733649291
127,-0.3270773794531016
128,-0.3270932004928382
129,-0.3271088592273604
130,-0.327124400173118
131,-0.3271397622382821
132,-0.3271549429889913
133,-0.3271699738893653
134,-0.32718489898948944
135,-0.3271996536857075
136,-0.32721433917078824
137,-0.3272289735698747
138,-0.3272435546774719
139,-0.32725807115357936
140,-0.32727254436184744
141,-0.3272868587349163
142,-0.3273010148484245
143,-0.3273150599301318
144,-0.327329045739814
145,-0.3273429926101349
146,-0.32735685990243385
147,-0.32737072937432166
148,-0.3273844497507793
149,-0.32739807565570306
150,-0.32741155462643595
151,-0.32742490425421683
152,-0.32743814601559645
153,-0.32745125017632193
154,-0.3274642336817327
155,-0.3274771107889875
156,-0.327489887774222
157,-0.3275027249523136
158,-0.32751569028172756
159,-0.32752852190094445
160,-0.3275414456111168
161,-0.3275542468518176
162,-0.32756700478518064
163,-0.3275796468701916
164,-0.32759216882578374
165,-0.32760460796515783
166,-0.32761708601531714
167,-0.3276296975166822
168,-0.3276421949205649
169,-0.3276546083229251
170,-0.3276668997792728
171,-0.3276791332146596
172,-0.32769128337164555
173,-0.3277033202346949
174,-0.3277153860698978
175,-0.3277274135312373
176,-0.3277393478903666
177,-0.32775123740911494
178,-0.3277631751677781
179,-0.3277750583973003
180,-0.3277868858879642
181,-0.327798691900302
182,-0.32781039243011323
183,-0.32782202261215865
184,-0.3278336066423107
185,-0.32784510171330306
186,-0.3278566966218918
187,-0.32786819893252583
188,-0.3278797227577909
189,-0.32789123112025664
190,-0.3279027433364618
191,-0.3279142129917308
192,-0.3279256347371046
193,-0.3279370262727766
194,-0.3279483349368112
195,-0.32795958761869193
196,-0.3279707443124478
197,-0.32798181905601603
198,-0.3279928996812542
199,-0.32800401817493535
200,-0.3280150541864478
201,-0.328026006687534
202,-0.3280369295965572
203,-0.32804791579971665
204,-0.3280588772551195
205,-0.328069753168861
206,-0.3280805638061517
207,-0.32809129542275406
208,-0.32810196074570325
209,-0.3281126535171737
210,-0.32812330167839493
211,-0.3281338768115734
212,-0.32814439220667285
213,-0.3281548301136151
214,-0.3281652053691371
215,-0.3281755480505375
216,-0.32818587631480645
217,-0.32819632534406057
218,-0.3282066935772556
219,-0.32821701021464417
220,-0.3282272710030901
221,-0.32823748537256753
222,-0.32824766548125967
223,-0.3282577781650316
224,-0.328267815431816
225,-0.32827777907620675
226,-0.32828768821546034
227,-0.328297577314359
228,-0.3283074130682347
229,-0.3283171887078724
230,-0.32832692165976957
231,-0.3283366050976773
232,-0.3283462528442302
233,-0.32835587665735844
234,-0.3283654752264312
235,-0.32837503657095074
236,-0.32838455865956573
237,-0.32839402776236243
238,-0.3284034608691126
239,-0.3284128848931903
240,-0.3284222471796359
241,-0.32843160715967107
242,-0.3284409063620479
243,-0.32845024744288137
244,-0.328459563222699
245,-0.32846888124040274
246,-0.3284783212121413
247,-0.3284877099088374
248,-0.328497094094001
249,-0.3285064226737502
250,-0.3285157429540329
251,-0.3285250070187864
252,-0.3285343039009261
253,-0.3285435406246399
254,-0.3285527297873558
255,-0.328561931154579
256,-0.3285711091908435
257,-0.3285802320691094
258,-0.3285893354906548
259,-0.3285983991871291
260,-0.3286074675580454
261,-0.32861648110194847
262,-0.32862544179351966
263,-0.3286343509154126
