Position,NDCG
1,-0.3190109947741912
2,-0.3198602878171473
3,-0.32025295071687043
4,-0.32057260875608995
5,-0.32098947301723363
6,-0.3213602960153216
7,-0.3216552408559117
8,-0.3219016076181128
9,-0.32210361957277145
10,-0.3222727632138284
11,-0.3224340925247719
12,-0.3225944890371368
13,-0.32274192966099924
14,-0.3228747861651939
15,-0.3229944812482785
16,-0.323129747277869
17,-0.32325986747400076
18,-0.3233796230306315
19,-0.32348936991497357
20,-0.3235927975579878
21,-0.3236884991504589
22,-0.32378164949233323
23,-0.32386953956131115
24,-0.3239526255612353
25,-0.3240311159750593
26,-0.32410507840015074
27,-0.32417705141651787
28,-0.3242452342627006
29,-0.3243101124328322
30,-0.3243743017950522
31,-0.324435966901092
32,-0.32449484706486703
33,-0.324551679229821
34,-0.3246067082860211
35,-0.32466135167879623
36,-0.3247137632250317
37,-0.3247643618258889
38,-0.32481525549368734
39,-0.32486410779323843
40,-0.3249122846606461
41,-0.32495913364047985
42,-0.3250042005977133
43,-0.32504780612586076
44,-0.3250911678134719
45,-0.3251331166076751
46,-0.3251740365644781
47,-0.32521382573803287
48,-0.3252544315435138
49,-0.3252940956431872
50,-0.32533248922664154
51,-0.32537004311927137
52,-0.3254065231977318
53,-0.32544204554218803
54,-0.3254769573822408
55,-0.3255108474288388
56,-0.32554376497139226
57,-0.3255762146704421
58,-0.3256078634806488
59,-0.3256389438954065
60,-0.3256692583677819
61,-0.32569877082199633
62,-0.32572805305948166
63,-0.3257570983259611
64,-0.3257854954235011
65,-0.32581321219426235
66,-0.32584069022696055
67,-0.3258679084962754
68,-0.3258946358964284
69,-0.3259208462721459
70,-0.325946454330748
71,-0.3259715621223381
72,-0.3259961369109372
73,-0.32602020025309836
74,-0.326044100895497
75,-0.32606815330162325
76,-0.3260918924792893
77,-0.3261153031625174
78,-0.3261383680025416
79,-0.32616097418700357
80,-0.32618319891839814
81,-0.3262055536378828
82,-0.32622761732496336
83,-0.3262494245678027
84,-0.32627131673908244
85,-0.3262928441104976
86,-0.32631424566829564
87,-0.32633598073329145
88,-0.32635795227560277
89,-0.3263796281463605
90,-0.32640110144397194
91,-0.3264222408318672
92,-0.32644307491804864
93,-0.32646361070771956
94,-0.3264839633877921
95,-0.32650416532465437
96,-0.3265241252651473
97,-0.32654393874715865
98,-0.32656418863532616
99,-0.32658417294954367
100,-0.32660398764169857
101,-0.326623509581857
102,-0.3266433297889795
103,-0.3266629046181291
104,-0.32668217268098043
105,-0.3267011434862668
106,-0.326719996508035
107,-0.32673861077464
108,-0.3267570889280087
109,-0.3267753658568885
110,-0.3267934540132121
111,-0.3268114041127202
112,-0.32682913281446924
113,-0.3268467788581128
114,-0.3268643506386685
115,-0.32688170235321323
116,-0.3268988099778665
117,-0.32691584125837514
118,-0.3269327461907154
119,-0.32694947905328486
120,-0.32696627937390027
121,-0.32698288624669186
122,-0.32699932899874
123,-0.32701586322616943
124,-0.32703217878796625
125,-0.32704828208335757
126,-0.3270645055609649
127,-0.327080558978723
128,-0.32709648766358995
129,-0.32711222978394483
130,-0.3271277830290003
131,-0.3271431794653122
132,-0.3271584639064888
133,-0.327173570966795
134,-0.327188603387536
135,-0.3272035796516432
136,-0.3272184976227058
137,-0.3272333459035278
138,-0.327248146244534
139,-0.3272627816157411
140,-0.32727725271777386
141,-0.32729160751794745
142,-0.32730589855596204
143,-0.32732014651383184
144,-0.3273343103024973
145,-0.3273484728173711
146,-0.32736248091088316
147,-0.3273763899982203
148,-0.3273901470364335
149,-0.3274037699293866
150,-0.3274172805069716
151,-0.32743064874586486
152,-0.32744389188334694
153,-0.32745702442864133
154,-0.3274700528070431
155,-0.32748313933681233
156,-0.3274963528254767
157,-0.3275094283128762
158,-0.3275225943452338
159,-0.3275356338643414
160,-0.32754862702542564
161,-0.32756150049549915
162,-0.327574250007745
163,-0.3275869133666292
164,-0.3275994610788572
165,-0.32761203301616476
166,-0.327624605126619
167,-0.3276371832073518
168,-0.3276496475245333
169,-0.3276620281688992
170,-0.32767428719084685
171,-0.3276864885104231
172,-0.327698606865289
173,-0.32771061223511233
174,-0.3277226468812865
175,-0.32773464345319514
176,-0.3277465472179868
177,-0.32775840643307813
178,-0.3277703141744424
179,-0.3277821676687887
180,-0.32779396570224983
181,-0.3278057425312913
182,-0.32781741414772697
183,-0.32782901568241085
184,-0.32784057132738587
185,-0.32785203827163073
186,-0.3278636053082204
187,-0.3278750799979936
188,-0.3278865764499957
189,-0.3278980576833239
190,-0.32790950041807265
191,-0.32792088451732687
192,-0.3279322274033707
193,-0.32794352373453534
194,-0.3279547911067419
195,-0.3279659770941624
196,-0.32797710843724304
197,-0.32798814530228226
198,-0.3279991016402195
199,-0.3280100648496671
200,-0.3280210667541409
201,-0.32803198755385266
202,-0.3280428262070002
203,-0.3280536363646618
204,-0.328064510471359
205,-0.32807536087977673
206,-0.3280861270593355
207,-0.32809682916630456
208,-0.3281074535029206
209,-0.32811801272296987
210,-0.32812860013450573
211,-0.32813914398998945
212,-0.3281496159841313
213,-0.3281600293335784
214,-0.32817036635240476
215,-0.32818064179805706
216,-0.32819088560364035
217,-0.32820111583600714
218,-0.32821146708447124
219,-0.32822173864954607
220,-0.32823195959318385
221,-0.32824212566847255
222,-0.32825224625359734
223,-0.3282623334443188
224,-0.3282723542052212
225,-0.32828230056570495
226,-0.3282921743007825
227,-0.32830199443673214
228,-0.3283117952855747
229,-0.32832154367050237
230,-0.3283312328396506
231,-0.3283408801381274
232,-0.3283504787578669
233,-0.3283600424560802
234,-0.328369563143793
235,-0.3283790347348794
236,-0.32838848239370383
237,-0.32839789421995497
238,-0.32840726818258215
239,-0.32841659064403883
240,-0.3284258784442415
241,-0.3284351582715518
242,-0.3284443778680452
243,-0.3284535961880373
244,-0.32846275519984697
245,-0.3284719567549444
246,-0.3284811341805641
247,-0.328490279388515
248,-0.3284993971206707
249,-0.3285086368120586
250,-0.3285178271903443
251,-0.32852701447182825
252,-0.3285361481200966
253,-0.3285452748919803
254,-0.32855434738912487
255,-0.3285634536377313
256,-0.32857250167808955
257,-0.3285815039486462
258,-0.328590519541764
259,-0.32859951329799275
260,-0.3286084537206288
261,-0.32861737610557645
262,-0.3286262603884599
263,-0.32863515047509334
